City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
136,Talnakh,RU,69.4865,88.3972,-7.26,-7.26,78,100,4.25,overcast clouds,2021-01-17 23:58:46
137,Yumen,CN,40.2833,97.2,16.07,16.07,76,0,13.27,clear sky,2021-01-17 23:58:46
138,Araouane,ML,18.9048,-3.5265,62.46,62.46,25,34,13.56,scattered clouds,2021-01-17 23:58:46
139,Det Udom,TH,14.906,105.0784,59.0,59.0,77,0,10.36,clear sky,2021-01-17 23:58:46
140,Geraldton,AU,-28.7667,114.6,87.8,87.8,45,82,6.91,broken clouds,2021-01-17 23:58:46
141,Bor,RU,56.3567,44.0669,-18.4,-18.4,83,9,0.72,mist,2021-01-17 23:58:46
142,Husavik,IS,66.0449,-17.3389,32.0,32.0,93,90,3.44,moderate rain,2021-01-17 23:58:47
143,Upernavik,GL,72.7868,-56.1549,12.92,12.92,86,69,9.44,broken clouds,2021-01-17 23:58:47
144,Kavaratti,IN,10.5669,72.642,81.79,81.79,75,0,7.52,clear sky,2021-01-17 23:58:47
145,Leo,BF,11.1,-2.1,72.41,72.41,19,80,7.49,broken clouds,2021-01-17 23:58:47
146,Aklavik,CA,68.2191,-135.0107,-5.8,-7.6,84,89,1.14,overcast clouds,2021-01-17 23:58:47
147,Dikson,RU,73.5069,80.5464,-23.58,-23.58,84,45,19.71,scattered clouds,2021-01-17 23:58:47
148,Verkhnevilyuysk,RU,63.4453,120.3167,-35.41,-35.41,82,100,3.49,overcast clouds,2021-01-17 23:58:47
149,Puerto Ayora,EC,-0.7393,-90.3518,78.01,78.01,89,45,3.0,scattered clouds,2021-01-17 23:58:47
150,Sorland,NO,67.667,12.6934,35.96,35.96,79,15,5.61,few clouds,2021-01-17 23:58:48
151,Permet,AL,40.2336,20.3517,28.99,28.99,74,84,3.44,broken clouds,2021-01-17 23:58:48
152,Karratha,AU,-20.7377,116.8463,96.44,96.44,33,48,13.13,scattered clouds,2021-01-17 23:58:48
153,Limpapa,PH,7.1197,121.9106,77.0,77.0,94,90,4.61,light rain,2021-01-17 23:58:48
154,Jawhar,SO,2.7809,45.5005,71.31,71.31,84,79,11.18,broken clouds,2021-01-17 23:58:48
155,Beringovskiy,RU,63.05,179.3167,-13.23,-13.23,87,20,8.68,few clouds,2021-01-17 23:58:48
156,El Dorado,US,38.7666,-120.5177,66.2,64.0,45,1,4.61,clear sky,2021-01-17 23:58:48
157,Varzea Grande,BR,-15.6467,-56.1325,77.0,77.0,83,40,8.05,scattered clouds,2021-01-17 23:58:48
158,Kawalu,ID,-7.3817,108.2082,75.09,75.09,82,99,1.95,overcast clouds,2021-01-17 23:58:48
159,Port Hardy,CA,50.6996,-127.4199,46.4,46.4,93,75,9.46,broken clouds,2021-01-17 23:58:49
160,Chicama,PE,-7.8447,-79.1469,73.02,73.02,72,29,7.67,scattered clouds,2021-01-17 23:58:49
161,Kalabo,ZM,-14.97,22.6814,70.05,70.05,72,100,4.03,overcast clouds,2021-01-17 23:58:49
162,Fairfield,US,41.2668,-73.3162,43.0,39.0,56,90,5.75,overcast clouds,2021-01-17 23:58:49
163,Ribeira Grande,PT,38.5167,-28.7,62.58,62.58,80,59,26.57,light rain,2021-01-17 23:58:49
164,Huarmey,PE,-10.0681,-78.1522,70.86,70.86,81,59,9.19,broken clouds,2021-01-17 23:58:49
165,Kibala,TD,9.1104,18.3463,73.4,73.4,40,0,5.68,clear sky,2021-01-17 23:58:49
166,Severo-Kurilsk,RU,50.6789,156.125,21.0,21.0,92,88,39.41,light snow,2021-01-17 23:58:49
167,Santiago,CL,-33.4569,-70.6483,84.2,82.4,20,0,8.05,clear sky,2021-01-17 23:58:49
168,Saint-Joseph,RE,-21.3667,55.6167,77.0,75.99,73,0,8.05,clear sky,2021-01-17 23:58:49
169,Weymouth,US,42.2209,-70.9398,42.01,37.99,56,90,13.8,overcast clouds,2021-01-17 23:58:50
170,Fayaoue,NC,-20.65,166.5333,82.87,82.87,75,100,5.97,overcast clouds,2021-01-17 23:58:50
171,Esperance,AU,-33.8667,121.9,64.4,64.4,68,0,11.5,clear sky,2021-01-17 23:58:50
172,Urucara,BR,-2.5364,-57.76,79.63,79.63,69,55,2.21,broken clouds,2021-01-17 23:58:50
173,Isilkul,RU,54.9109,71.2728,5.22,5.22,92,94,15.43,overcast clouds,2021-01-17 23:58:50
174,Klaksvik,FO,62.2266,-6.589,35.6,35.6,87,75,8.05,broken clouds,2021-01-17 23:58:50
175,Tsumeb,NA,-19.2333,17.7167,68.0,68.0,88,100,4.61,moderate rain,2021-01-17 23:58:50
176,Hamilton,US,39.1834,-84.5333,34.0,32.0,86,90,6.91,light snow,2021-01-17 23:55:17
177,Basco,PH,20.4487,121.9702,69.31,69.31,79,99,32.06,overcast clouds,2021-01-17 23:58:50
178,Mbanza-Ngungu,CD,-5.25,14.8667,66.52,66.52,100,100,3.33,moderate rain,2021-01-17 23:58:50
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.19,76.19,85,9,14.63,clear sky,2021-01-17 23:58:51
180,Touros,BR,-5.1989,-35.4608,78.8,78.8,78,20,6.91,few clouds,2021-01-17 23:58:51
181,Lima,PE,-12.0432,-77.0282,73.4,71.01,68,0,18.41,clear sky,2021-01-17 23:55:09
182,Pozo Colorado,PY,-23.4923,-58.7972,68.58,68.58,81,100,6.44,overcast clouds,2021-01-17 23:58:51
183,Tautira,PF,-17.7333,-149.15,86.0,86.0,62,40,4.61,scattered clouds,2021-01-17 23:58:51
184,Aykhal,RU,66.0,111.5,-33.48,-33.48,80,90,1.36,overcast clouds,2021-01-17 23:58:51
185,Belaya Gora,RU,68.5333,146.4167,-37.66,-37.66,83,48,0.98,scattered clouds,2021-01-17 23:58:51
186,Benguela,AO,-12.5763,13.4055,74.48,74.48,75,90,6.26,overcast clouds,2021-01-17 23:58:51
187,Port Hedland,AU,-20.3167,118.5667,96.8,96.8,23,10,12.66,clear sky,2021-01-17 23:58:51
188,Kumta,IN,14.4167,74.4,76.28,76.28,55,0,7.34,clear sky,2021-01-17 23:58:51
189,Pangnirtung,CA,66.1451,-65.7125,-18.18,-18.18,79,50,2.28,scattered clouds,2021-01-17 23:58:51
190,Kjollefjord,NO,70.9457,27.3465,33.33,33.33,94,100,11.81,light snow,2021-01-17 23:58:52
191,Aguimes,ES,27.9054,-15.4461,60.8,57.99,72,20,9.22,few clouds,2021-01-17 23:58:52
192,Raton,US,36.9034,-104.4391,41.0,37.0,36,1,6.91,clear sky,2021-01-17 23:58:52
193,Labuan,MY,5.2767,115.2417,73.4,73.4,94,20,1.14,few clouds,2021-01-17 23:58:52
194,Cozumel,MX,20.5083,-86.9458,69.8,66.99,78,90,13.8,overcast clouds,2021-01-17 23:57:16
195,Sal Rei,CV,16.1833,-22.9167,69.8,69.8,73,0,14.97,haze,2021-01-17 23:58:52
196,Iqaluit,CA,63.7506,-68.5145,-11.2,-11.2,64,40,4.61,scattered clouds,2021-01-17 23:58:52
197,Kita,ML,13.0349,-9.4895,71.46,71.46,19,76,5.28,broken clouds,2021-01-17 23:58:52
198,Temple,US,31.0982,-97.3428,60.8,55.0,29,1,4.61,clear sky,2021-01-17 23:55:50
199,Kiunga,PG,-6.1219,141.2906,75.88,75.88,94,100,1.81,moderate rain,2021-01-17 23:58:52
200,Port Alberni,CA,49.2413,-124.8028,44.01,42.01,88,71,1.1,broken clouds,2021-01-17 23:58:53
201,Chumikan,RU,54.7183,135.315,-22.94,-22.94,75,97,10.94,overcast clouds,2021-01-17 23:58:53
202,Ushtobe,KZ,45.2514,77.9838,16.36,16.36,89,7,5.23,clear sky,2021-01-17 23:58:53
203,Porto Velho,BR,-8.7619,-63.9039,80.6,80.6,83,20,3.44,light rain,2021-01-17 23:54:04
204,Yar-Sale,RU,66.8333,70.8333,-12.95,-12.95,89,100,16.51,light snow,2021-01-17 23:58:53
205,Saint-Augustin,CA,51.226,-58.6502,36.64,36.64,93,100,26.4,moderate rain,2021-01-17 23:58:53
206,Tura,IN,25.5198,90.2201,58.21,58.21,69,0,2.64,clear sky,2021-01-17 23:58:53
207,Kalevala,RU,65.2,31.1667,11.98,11.98,96,67,6.46,broken clouds,2021-01-17 23:58:53
208,Barrow,US,71.2906,-156.7887,-2.2,-2.2,71,90,16.11,overcast clouds,2021-01-17 23:58:53
209,Port Macquarie,AU,-31.4333,152.9167,79.0,79.0,60,96,1.01,overcast clouds,2021-01-17 23:58:54
210,Ugoofaaru,MV,5.6667,73.0,81.36,81.36,78,29,12.88,light rain,2021-01-17 23:58:54
211,Tuatapere,NZ,-46.1333,167.6833,62.01,62.01,52,80,8.99,broken clouds,2021-01-17 23:58:54
212,Camocim,BR,-2.9022,-40.8411,79.77,79.77,81,100,11.27,light rain,2021-01-17 23:57:05
213,Taklisah,TN,36.7833,10.6333,55.4,53.6,62,40,12.66,scattered clouds,2021-01-17 23:58:54
214,San Luis,AR,-33.295,-66.3356,68.0,68.0,30,0,4.85,clear sky,2021-01-17 23:58:54
215,Japura,ID,-0.3167,102.35,72.41,72.41,97,100,1.25,overcast clouds,2021-01-17 23:58:54
216,Lazaro Cardenas,MX,17.9583,-102.2,79.36,79.36,72,46,5.55,scattered clouds,2021-01-17 23:58:54
217,Tutoia,BR,-2.7619,-42.2744,78.78,78.78,88,100,9.04,light rain,2021-01-17 23:58:54
218,Muroto,JP,33.2833,134.15,32.0,32.0,69,20,5.75,few clouds,2021-01-17 23:58:54
219,Skuodas,LT,56.2667,21.5333,12.2,6.8,85,90,3.44,overcast clouds,2021-01-17 23:58:55
220,Sampit,ID,-2.5333,112.95,74.98,74.98,94,100,1.72,overcast clouds,2021-01-17 23:58:55
221,San Isidro,PE,-12.1167,-77.05,73.4,71.01,68,0,18.41,clear sky,2021-01-17 23:58:55
222,Roma,US,43.2128,-75.4557,34.0,32.0,86,90,3.44,light snow,2021-01-17 23:55:47
223,Nemuro,JP,43.3236,145.575,15.8,15.8,92,40,2.3,scattered clouds,2021-01-17 23:58:55
224,Ciudad Bolivar,VE,8.1222,-63.5497,82.02,82.02,62,95,12.19,overcast clouds,2021-01-17 23:58:55
225,Altay,CN,47.8667,88.1167,11.84,11.84,62,53,1.7,broken clouds,2021-01-17 23:58:55
226,Zhangye,CN,38.9342,100.4517,18.97,18.97,70,0,2.57,clear sky,2021-01-17 23:58:55
227,Alhama De Murcia,ES,37.851,-1.4251,51.01,48.99,36,25,6.87,scattered clouds,2021-01-17 23:58:56
228,Chuy,UY,-33.6971,-53.4616,65.84,65.84,70,57,8.93,broken clouds,2021-01-17 23:58:56
229,Dire,ML,12.2833,-10.9667,68.88,68.88,21,54,1.23,broken clouds,2021-01-17 23:58:56
230,Norman Wells,CA,65.282,-126.8329,-9.4,-9.4,77,90,0.36,overcast clouds,2021-01-17 23:58:56
231,Chapais,CA,49.7834,-74.8492,14.0,14.0,85,90,13.8,light snow,2021-01-17 23:58:56
232,Tiksi,RU,71.6872,128.8694,-20.25,-20.25,88,100,8.34,overcast clouds,2021-01-17 23:58:56
233,San Patricio,US,28.017,-97.5169,66.2,62.01,52,20,11.5,few clouds,2021-01-17 23:58:56
234,Warmbad,NA,-28.45,18.7333,75.85,75.85,31,0,8.86,clear sky,2021-01-17 23:58:56
235,Sohag,EG,26.557,31.6948,53.6,53.6,40,0,6.91,clear sky,2021-01-17 23:58:56
236,Novomikhaylovskiy,RU,44.2581,38.8578,23.0,23.0,82,100,8.14,overcast clouds,2021-01-17 23:58:57
237,Kloulklubed,PW,7.0419,134.2556,75.2,75.2,88,90,6.91,moderate rain,2021-01-17 23:58:57
238,Krasnoselkup,RU,65.7,82.4667,-3.01,-3.01,92,100,10.4,overcast clouds,2021-01-17 23:58:57
239,Talaya,RU,61.3833,152.75,-31.63,-31.63,80,100,8.59,light snow,2021-01-17 23:58:57
240,Tual,ID,-5.6667,132.75,82.81,82.81,80,81,19.55,light rain,2021-01-17 23:58:57
241,Quelimane,MZ,-17.8786,36.8883,77.0,77.0,88,75,33.38,light rain,2021-01-17 23:58:57
242,Necochea,AR,-38.5473,-58.7368,60.01,60.01,78,68,13.06,broken clouds,2021-01-17 23:58:57
